Topic,Growth_Ratio,Recent_Changepoint,Avg_Severity,Risk_Score,Name,Representation,Count
113,1.1538461538461537,False,1.3661971830985915,1.9420368364030334,113_tcas_intruder_traffic_ra,"['tcas', 'intruder', 'traffic', 'ra', 'mode intruder', 'mia', 'oclock', 'conflict', 'proximity', 'intruder aircraft']",71
701,1.25,False,1.0769230769230769,1.923076923076923,701_balloon_power line_crane_pole,"['balloon', 'power line', 'crane', 'pole', 'power lines', 'basket', 'lines', 'hot air', 'air balloon', 'object']",26
443,0.9523809523809524,False,2.022222222222222,1.9153439153439153,443_smoke_smell_electrical_odor,"['smoke', 'smell', 'electrical', 'odor', 'fumes', 'burning', 'evacuated', 'gate', 'fume', 'apu']",45
446,0.909090909090909,False,2.1777777777777776,1.8989898989898983,446_yaw_yaw dampener_dampener_csd,"['yaw', 'yaw dampener', 'dampener', 'csd', 'pitch', 'vibration', 'pitch trim', 'disengaged', 'declared', 'fault']",45
42,1.0869565217391306,False,1.4578313253012047,1.8792561550550029,42_downwind_pattern_helicopter_student,"['downwind', 'pattern', 'helicopter', 'student', 'left downwind', 'base', 'warrior', 'traffic pattern', 'traffic', 'local']",83
574,0.9523809523809524,False,1.9444444444444444,1.8783068783068786,574_directional control_directional_reversers_thrust reversers,"['directional control', 'directional', 'reversers', 'thrust reversers', 'runway excursion', 'centerline lights', 'excursion', 'runway centerline', 'thrust', 'right hydraulic']",36
432,1.1111111111111112,False,1.3777777777777778,1.8765432098765433,432_bottles_o2_oxygen_bottle,"['bottles', 'o2', 'oxygen', 'bottle', 'connected', 'device', 'mask', 'crew o2', 'cabinet', 'hose']",45
111,0.8196721311475411,False,2.5774647887323945,1.8760101593165552,111_terrain_visual_visual approach_gpws,"['terrain', 'visual', 'visual approach', 'gpws', 'warning', 'glide', 'glideslope', 'terrain warning', 'cleared visual', 'slope']",71
415,1.4285714285714286,False,0.6170212765957447,1.8693009118541035,415_dg_cargo_load_straps,"['dg', 'cargo', 'load', 'straps', 'loadmaster', 'bags', 'goods', 'loaded', 'dangerous goods', 'load planning']",47
391,1.25,False,0.9591836734693877,1.8494897959183674,391_marshaller_wing walker_walker_tug,"['marshaller', 'wing walker', 'walker', 'tug', 'driver', 'wing', 'jetbridge', 'safety zone', 'pushback', 'gate']",49
